,E,N,namewithoutadditions
15616,2754380.433,1218147.547,Ruefa
15617,2746085.558,1218146.078,Sersax
15618,2755944.326,1218119.215,Schalär
15619,2728788.093,1218090.135,Talalp
15620,2765601.131,1218100.316,Turna
15621,2757108.931,1218094.283,Neumüli
15622,2727580.69,1218086.885,Chalthüttli
15623,2762283.948,1218088.072,Alpelti
15624,2755097.563,1218017.324,Tobel
15625,2753995.85,1218280.237,Vies
15626,2749001.21,1218062.22,Althaus
15627,2746364.702,1218104,Forggels
15628,2739925.69,1218040.016,Chengel
15629,2743132.106,1217990.33,Tobel
15630,2725338.428,1217988.94,Gruebberg
15631,2749418.381,1217984.047,Geissegg
15632,2743733.679,1217902.041,Galtschina
15633,2742551.711,1217999.161,Planggs
15634,2740107.351,1217820.594,Schwendi
15635,2741440.624,1217958.277,Clevelier
15636,2731906.219,1217966.979,Ober Gäsi
15637,2746450.28,1217929.73,Calspert
15638,2755569.562,1217938.156,Gapluom
15639,2748348.394,1217934.844,Forggeli
15640,2730197.262,1217925.681,Oberstrass
15641,2725475.473,1217925.726,Chalthüttner
15642,2758275.065,1217944.224,Gartnetschhof
15643,2754091.322,1217868.276,Vies
15644,2742142.069,1217890.861,Bargs
15645,2754451.233,1217826.387,Pratalada
15646,2727741.521,1217864.141,Stäfeli
15647,2728718.102,1217868.722,Talhütten
15648,2726083.68,1217836.34,Unter Nüen
15649,2736626.679,1217802.492,Hienenboden
15650,2753525.295,1217794.019,Gernolf
15651,2743430.833,1217848.981,Pardella
15652,2749887.006,1217762.239,Vorderpalfris
15653,2738772.769,1217764.888,Obertal
15654,2753833.656,1217780.721,Plans
15655,2742881.414,1217942.375,Buebeberg
15656,2725290.863,1217730.816,Obstock
15657,2753664.139,1217645.5,Maiensäss
15658,2742756.763,1217594.641,Brünsch
15659,2747061.479,1217602.162,Valaschga
15660,2727139.821,1217655.188,Oberst Nüen
15661,2736314.593,1217652.793,Rüedisboden
15662,2746015.743,1217605.224,Rosschopf
15663,2741692.515,1217621.242,Guntalau
15664,2737685.488,1217609.966,Stalden
15665,2753945.449,1217636.97,Vereitis
15666,2742012.566,1217660.297,Brünisberg
15667,2743864.815,1217605.335,Gaschütsch
15668,2743411.035,1217472.166,Ruobi
15669,2737407.663,1217587.588,Gafadura
15670,2743063.507,1217532.565,Hof
15671,2741809.872,1217473.37,Paglina
15672,2725700.281,1217441.037,Iberg
15673,2750146.62,1217439.236,Waldguet
15674,2745746.187,1217474.447,Chlögg
15675,2743571.797,1217323.595,Stei
15676,2742137.723,1217315.404,Rüti
15677,2752643.531,1217552.259,Hinterlegi
15678,2742284.642,1217299.724,Marus
15679,2735686.484,1217299.748,Nüchen
15680,2746564.674,1217268.948,Gufern
15681,2738382.784,1217237.332,Brand
15682,2743417.114,1217205.569,Chürlis
15683,2734298.19,1217200.623,Plätz
15684,2725028.46,1217146.254,Schwändli
15685,2763193.373,1217108.476,Valüna
15686,2743119.45,1217123.183,Lingi
15687,2754317.529,1217130.694,Rafaschanis
15688,2754768.048,1217078.848,Bofel
15689,2754103.22,1217104.398,Oberhütten
15690,2732259.61,1217063.611,Rietboden
15691,2751058.633,1217034.197,Labria
15692,2730645.976,1216979.438,Alt Stafel
15693,2750497.26,1217013.683,Tschuggen
15694,2759971.563,1217014.887,Gorn
15695,2743937.576,1217071.268,Rüsch
15696,2749696.022,1216988.03,Rütiguet
15697,2760175.024,1216983.737,Platta
15698,2728597.641,1216956.181,Talgäden
15699,2759236.057,1216932.596,Magrüel
15700,2747121.861,1216971.279,Valdarsch
15701,2736835.953,1216890.744,Altstafel
15702,2729230.725,1216869.477,Ober Tros
15703,2753749.792,1216870.754,Lavadarsch
15704,2742835.32,1216843.773,Zünaberg
15705,2726520.334,1216863.76,Boden
15706,2742375.238,1216827.569,Schaa
15707,2746140.402,1216803.716,Bösch
15708,2743977.467,1216771,Pravizin
15709,2743701.393,1216778.926,Büntli
15710,2742209.387,1216658.467,Ruslen
15711,2750613.074,1216620.221,Alp Palfries
15712,2747511.806,1216613.802,Gapöscha
15713,2762209.154,1216598.819,Obersäss
15714,2741827.997,1216656.267,Schwendi
15715,2738367.262,1216585.112,Recket
15716,2753951.554,1216573.537,Flied
15717,2743949.356,1216557.831,Bünten
15718,2743124.124,1216634.561,Schnälls
15719,2726399.106,1216581.304,Mullerenberg
15720,2743261.331,1216557.502,Untertal
15721,2725859.238,1216483.486,Schlatt
15722,2742724.561,1216508.447,Mutten
15723,2752917.433,1216510.907,Rüti
15724,2752426.19,1216484.587,Glätti
15725,2735106.299,1216445.585,Tobelwald
15726,2752200.332,1216433.08,Cresta
15727,2742877.379,1216429.147,Testa
15728,2764271.487,1216407.901,Hötta
15729,2745785.407,1216259.241,Stäge
15730,2744030.028,1216338.352,Flumserberg Portels
15731,2750352.587,1216344.537,Oberer Steinersäss
15732,2732355.571,1216351.528,Alp Bigligen
15733,2744286.025,1216339.668,Plattnerbünt
15734,2752662.538,1216301.714,Balzberg
15735,2739064.685,1216290.949,Chrüz
15736,2763150.991,1216273.562,Waldboda
15737,2746767.551,1216824.378,Flums Hochwiese
15738,2743333.831,1216249.639,Cresch
15739,2726741.48,1216249.627,Schluchen
15740,2742177.008,1216228.642,Grätschwiesen
15741,2742794.791,1216119.614,Säss
15742,2741632.858,1216200.746,Blumenegg
15743,2739178.279,1216251.171,Obersäss
15744,2741856.479,1216145.246,Pasandel
15745,2752254.972,1216109.37,Maiengut
15746,2746501.857,1216118.926,Birch
15747,2752883.335,1216099.724,Lochberg
15748,2741991.711,1216069.873,Dürrwisen
15749,2746148.831,1216137.82,Dirsch
15750,2730953.258,1216044.226,Meerenboden
15751,2744660.9,1216102.359,Grapp
15752,2743672.885,1216234.402,Margess
15753,2742401.361,1216019.09,Erb
15754,2745680.488,1216005.64,Wagenloch
15755,2745014.174,1215981.165,Flumserberg Saxli
15756,2725626.091,1215985.244,Schwibergli
15757,2752505.369,1215975.908,Sitzbüel
15758,2744388.569,1215908.877,Hof
15759,2748216.335,1215901.15,Poli
15760,2749624.54,1215868.011,Hinterspina
15761,2745925.153,1215928.553,Hof
15762,2752887.406,1215845.342,Lanaberg
15763,2752125.591,1215872.334,Oberhaus
15764,2741830.311,1215848.842,Bödemwiesen
15765,2747694.026,1215806.09,Meiersberg
15766,2754333.009,1215807.887,Chlefibünt
15767,2752734.328,1215788.25,Saxerberg
15768,2745498.447,1215774.988,Helgli
15769,2752300.167,1215773.061,Rungg
15770,2751414.549,1215784.372,Rieteralp
15771,2744149.901,1215736.463,Sütsch
15772,2745837.735,1215737.045,Mutten
15773,2743571.324,1215708.267,Egg
15774,2746259.164,1215694.048,Unterstein
15775,2744996.24,1215721.345,Rutz
15776,2752935.042,1215690.966,Rüti
15777,2747888.058,1215682.683,Grünhag
15778,2743920.523,1215760.772,Masauer
15779,2746066.909,1215687.566,Stein
15780,2737211.296,1215670.417,Seeben
15781,2742780.693,1215631.082,Batschilswiesen
15782,2742170.264,1215596.549,Palagul
15783,2740378.566,1215573.805,Prod
15784,2752578.859,1215563.615,Butzberg
15785,2741832.598,1215514.326,Alp Bödem
15786,2744566.939,1215441.438,Mutten
15787,2753521.156,1215460.185,Matug
15788,2756850.882,1215445.91,Stadel
15789,2753026.719,1215432.406,Maienberg
15790,2743824.406,1215403.613,Burdi
15791,2754057.703,1215416.957,Mazifer
15792,2734825.05,1215410.764,Munz
15793,2731974.976,1215369.639,Gsponlauihütte
15794,2745834.259,1215438.354,Bärgs
15795,2733670.809,1215324.274,Merlen
15796,2746660.935,1215311.03,Jren
15797,2745362.63,1215293.626,Maquart
15798,2744050.25,1215272.114,Valdatsch
15799,2740340.416,1215245.617,Büchel
15800,2731631.999,1215229.819,Schlosshütte
15801,2736131.483,1215233.367,Mulfer
15802,2744292.037,1215061.338,Valö
15803,2746133.686,1215182.628,Strazza
15804,2745628.52,1215163.49,Gapatscha
15805,2753390.21,1215095.429,Rain
15806,2745055.279,1215162.59,Vals
15807,2752388.333,1215120.758,Älpli
15808,2753135.889,1215074.6,Melsewies
15809,2753569.941,1215084.131,Büel
15810,2736998.564,1215006.989,Grueb
15811,2752873.137,1215029.625,Naus
15812,2746528.326,1215023.049,Schlegelgüetli
15813,2750248.439,1215019.669,Vorderspina
15814,2725633.652,1214991.536,Unter Stafel
15815,2744866.376,1214989.774,Jauer
15816,2761009.673,1215040.861,Lawena
15817,2748742.74,1215090.866,Ragnatsch
15818,2730813.061,1214938.987,Robmen
15819,2743594.278,1214971.719,Sässliwiesen
15820,2753561.463,1214890.376,Atscha
15821,2746052.219,1214887.535,Gugi
15822,2745294.291,1214887.443,Fältsch
15823,2728285.644,1214877.542,Lochhütte
15824,2745816.018,1214858.265,Padüra
15825,2760794.653,1214844.644,Stofel
15826,2744589.913,1214770.864,Gast
15827,2744956.144,1214729.315,Margolda
15828,2753728.553,1214726.349,Schofäuli
15829,2728055.141,1214707.811,Lochgaden
15830,2731523.111,1214683.202,Unter Mürtschen
15831,2725483.967,1214683.223,Ober Ruestel
15832,2747259.263,1214620.802,Held
15833,2728664.831,1214684.628,Hummel
15834,2735883.908,1214651.82,Chrümmelbach
15835,2745966.37,1214656.38,Bofel
15836,2753422.299,1214615.658,Gaden
15837,2745656.142,1214552.606,Geisswiesen
15838,2746851.707,1214566.569,Bünten
15839,2741385.272,1214348.748,Bruggwiti
15840,2749529.533,1214493.467,Bleichi
15841,2744987.95,1214506.78,Dutta
15842,2743683.79,1214178.669,Wildenberg
15843,2744780.356,1214177.64,Cafröa
15844,2747398.643,1214089.398,Tobel
15845,2742628.528,1214088.046,Gampergalt
15846,2741203.765,1214093.466,Ochsenälpli
15847,2726140.082,1213994.066,Mittler Stafel
15848,2738223.855,1214008.955,Panüöl
15849,2727903.601,1213996.593,Plattengaden
15850,2741990.803,1213982.502,Chobel
15851,2748265.171,1213926.591,Matrings
15852,2746799.568,1213929.118,Giren
15853,2740531.853,1213913.18,Vorder Maschalun
15854,2745022.681,1213876.988,Ingerli
15855,2725213.823,1213883.358,Ändi
15856,2726947.831,1213832.944,Ober Stafel
15857,2746043.127,1213740.8,Parfatti
15858,2748487.126,1213741.534,Otterstein
15859,2758759.479,1213678.978,Überm Bach
15860,2751318.955,1213608.235,Valini
15861,2747774.876,1213503.533,Meilen
15862,2745881.804,1213564.802,Plon
15863,2734985.932,1213545.764,Mütschüel
15864,2740193.015,1213523.191,Hinter Maschalun
15865,2751619.295,1213521.772,Oberprod
15867,2748228.005,1213281.69,Stein
15868,2745530.659,1213286.051,Gstollenberg
15869,2725146.769,1213288.322,Grossberg
15870,2729565.763,1213246.582,Ober Mürtschen
15871,2725501.594,1213206.201,Elmer
15872,2738359.042,1213175.247,Naserina
15873,2756757.156,1213145.972,Wiesli
15874,2748352.468,1213116.922,Bünten
15875,2747636.676,1213136.307,Schigg
15876,2739458.45,1213113.207,Ruhegg
15877,2769615.92,1213081.224,Alt Säss
15878,2749421.898,1213057.567,Schlings
15879,2739196.142,1213060.224,Wissenberg
15880,2746665.494,1213071.5,Gigerberge
15881,2750032.703,1213077.814,Runkalina
15882,2733087.818,1213018.773,Bütz
15883,2746120.929,1212974.029,Schwarzenberg
15884,2733701.834,1212970.987,Mornen
15885,2748451.721,1212950.016,Mädris
15886,2746895.534,1212913.587,Wissenstein
15887,2738735.422,1212887.341,Eschner
15888,2725968.467,1212890.415,Mittler Stafel
15889,2725508.938,1212879.877,Stoffel
15890,2740242.697,1212772.177,Wisen
15891,2726610.881,1212727.837,Ober Stafel
15892,2747305.815,1212696.717,Kapfenberge
15893,2744700.429,1212683.837,Mädemsvorsäss
15894,2749282.441,1212676.923,Kestnenholz
15895,2725692.183,1212692.611,Bärentrösli
15896,2748758.141,1212734.566,Bidmen
15897,2762971.545,1212574.93,Obersäss
15898,2749607.264,1212542.467,Güetli
15899,2748763.284,1212500.28,Runtel
15900,2749860.653,1212355.234,Rüfi
15901,2741034.543,1212148.684,Halden
15902,2753007.881,1212149.833,Tschessis
15904,2748794.521,1212099.343,Güetli
15905,2742975.785,1212075.245,Mädemshintersäss
15906,2742116.722,1212060.834,Chammhüttli
15907,2739007.631,1212025.126,Lärchenbödeli
15908,2738438.452,1212014.463,Matossa
15909,2747200.157,1211989.322,Herrenschwimme
15910,2740582.483,1211978.482,Cher
15911,2748488.401,1211934.502,Plattmol
15912,2750045.374,1211867.313,Bannholz
15913,2773794.106,1211925.852,Hintersäss
15914,2744818.568,1211909.178,Kohlschlag-Vorsäss
15915,2733577.638,1211922.459,Mornenseebeli
15916,2770578.936,1211911.877,Valarsäge
15918,2734497.248,1211836.447,Erdis
15919,2749899.631,1211816.936,Gamerlen
15920,2738838.329,1211803.717,Beeribüel
15921,2748984.956,1211787.705,Vorder Schlössli
15922,2748128.48,1211750.942,Tschess
15923,2732098.377,1211749.625,Guflen
15924,2738031.602,1211732.01,Lauiboden
15925,2749650.494,1211623.019,Blees
15926,2772036.186,1211632.9,Vordersäss
15927,2765032.776,1211616.128,Säge
15929,2747840.72,1211638.629,Vermol
15930,2737453.013,1211554.429,Sässli
15931,2775214.057,1211549.276,Golrosa
15932,2748926.487,1211509.345,Hienzi
15933,2750979.46,1211506.475,Fehrbach
15934,2747975.526,1211339.862,Nesenberg
15935,2749979.46,1211315.84,Schurs
15936,2750168.006,1211169.437,Monteplon
15937,2747878.055,1211181.532,Höfli
15938,2763168.907,1211151.013,Bad
15939,2747207.237,1211098.581,Gallenwerch
15940,2750510.833,1210979.939,Stein
15941,2733142.02,1210907.982,Chamm
15942,2747373.178,1211178.337,Leunen
15943,2747601.957,1210842.829,Hundbüel
15944,2750259.137,1210837.468,Schleips
15945,2758852.618,1210919.576,St. Luzisteig
15946,2727456.742,1210750.166,Alp Begligen
15947,2750726.283,1210791.911,Fontanix
15948,2754964.995,1210712.001,Alter Bugg
15949,2750250.236,1210641.062,Hof
15950,2778489.623,1210621.901,Heidbüel
15951,2754238.323,1210586.527,Baschär
15952,2773477.331,1210589.554,Obersäss
15953,2768612.925,1210585.045,Pudenal
15954,2747828.939,1210993.04,Hintervermol
15955,2747460.137,1210553.162,Schigg
15956,2739768.525,1210531.31,Werdenböll
15957,2750329.506,1210484.015,Gargums
15958,2747599.058,1210507.722,Hochegg
15959,2777705.471,1210486.649,Grüscher Älpli
15960,2738835.861,1210358.028,Ridnerobersäss
15961,2751022.032,1210387.024,Bazal
15962,2754874.783,1210320.252,Baschärhof
15963,2776793.094,1210303.578,Schuderser Älpli
15964,2750613.076,1210307.059,Batluzi
15965,2751819.22,1210294.668,Barnüel
15966,2751256.529,1210268.041,Tobel
15967,2764483.707,1210195.122,Obersäss
15968,2745567.525,1210141.272,Tamons Vorsäss
15969,2750610.512,1210070.412,Muttis
15970,2750829.472,1210106.155,Plattis
15971,2746847.064,1210097.702,Stegen
15972,2734237.231,1210110.009,Mülibach Oberstafel
15973,2746998.097,1210110.742,Bergli
15974,2725128.23,1210021.201,Matt
15975,2767907.541,1210052.99,Stutz
15976,2751241.894,1209950.045,Batselva
15977,2750730.161,1209907.961,Rueboden
15978,2753583.288,1209866.266,Grestis
15979,2753177.16,1209858.841,Oberkapells
15980,2752182.068,1209785.263,Güetli
15981,2726812.006,1209823.268,Äugsten
15982,2726552.538,1209802.286,Bärenboden
15983,2752355.287,1209609.255,Tobel
15984,2755315.63,1209767.899,Freihof
15985,2767105.957,1209756.425,Zuzischana
15986,2760395.621,1209797.192,Hof
15987,2751053.077,1209693.32,Unterberg
15988,2763020.866,1209661.059,Mittelsäss
15989,2742264.398,1209650.934,Kohlschlag--Kläui
15990,2773371.966,1209635.155,Mittelsäss
15991,2759953.38,1209598.829,Bovel
15992,2742835.637,1209622.841,Hochsäss
15993,2740640.599,1209615.381,Rinderfans
15994,2747418.33,1209571.843,Schattenberg
15995,2769399.181,1209552.348,Nü Hütte
15996,2760069.266,1209499.678,Heidihof
15997,2733441.962,1209504.704,Lüser
15998,2752053.748,1209498.67,Montmartin
15999,2751504.866,1209478.525,Oberbatselva
16000,2768641.885,1209438.173,Hinter Tarsana
16001,2730855.81,1209420.257,Widersteiner Hüttli
16002,2758966.892,1209407.949,Stellibovel
16003,2725388.138,1209363.957,Uschenberg
16004,2753166.123,1209341.479,Schattenberg
16005,2752697.684,1209258.466,Visenboden
16006,2744334.953,1209237.26,Tamons Hintersäss
16007,2747015.757,1209222.182,Winkel
16008,2746417.391,1209176.099,Rothenberg
16009,2772512.993,1209161.549,Carlitsch
16010,2766849.759,1209144.13,Tanafreida
16011,2746322.962,1209097.384,Eggenberg
16012,2752409.356,1209103.867,Narrenberg
16013,2760161.848,1209061.468,Ober Rofels
16014,2746922.64,1209059.77,Tuggstein
16015,2753718.828,1209007.453,Targön
16016,2766145.149,1209009.641,Sadreinegg
16017,2746841.39,1208943.534,Egg
16018,2759545.566,1208964.662,Pola
16019,2751190.787,1208860.191,Schönbüel
16020,2755905.78,1208807.542,Büel
16021,2762415.852,1208804.039,Untersäss
16022,2731632.027,1208790.429,Usserbergli
16023,2752736.32,1208786.934,Montliver
16024,2783672.289,1208776.448,Gruoben
16025,2767275.651,1208808.236,Truvaschina
16026,2766985.432,1208734.106,Guora
16027,2746451.864,1208730.257,Halden
16028,2773493.551,1208715.434,Läger
16029,2746720.221,1208711.573,Höhi
16030,2750345.079,1208695.631,Alp Wald
16031,2769478.493,1208676.438,Ober Munt
16032,2748815.417,1208671.76,Alp Vermii
16033,2753560.212,1208654.533,Weisberg
16034,2727984.786,1208631.971,Ober Fessis
16035,2746642.847,1208574.176,Gass
16036,2746275.528,1208547.929,Oberschwendi
16037,2725342.921,1208500.837,Hüsliguet
16038,2731768.338,1208477.588,Innerbergli
16039,2738448.636,1208467.227,Schaffanshüttli
16040,2766271.851,1208463.61,Wurzaneina
16041,2769331.565,1208454.098,Munt
16042,2768077.044,1208430.045,Marnei
16043,2736791.813,1208432.019,Stäfeli
16044,2744988.239,1208429.832,Matels
16045,2747045.309,1208403.392,Sässli
16046,2768930.494,1208386.291,Unter Munt
16047,2727577.068,1208315.762,Chüewald
16048,2775710.062,1208291.173,Rüti
16050,2754095.071,1208276.872,Haldenberg
16051,2725135.328,1208252.396,Müli
16053,2761975.745,1208169.076,Schlossguot
16054,2730579.575,1208168.271,Gufeli Oberstafel
16055,2772818.47,1208193.795,Placaun
16056,2783752.086,1208128.549,Eggen
16057,2740671.003,1208112,Prudellhüttli
16058,2771262.878,1207944.371,Eggli
16059,2750251.119,1208061.726,Alp Mugg
16060,2754840.242,1208031.502,Faller
16061,2775457.268,1208024.154,Cavadretta
16062,2743185.301,1208024.427,Obergalans
16063,2764943.845,1207999.94,Gilieila
16064,2752487.501,1207963.869,Alp Wald Untersäss
16065,2754486.402,1207963.606,Kropfsberg
16066,2733215.015,1207963.475,Plättlihütte
16067,2745989.068,1207951.089,Stein
16068,2766271.242,1207912.427,Galflarieng
16069,2776001.442,1207918.515,Sagen
16070,2748601.948,1207916.402,Ober Vermii
16071,2753949.957,1207906.619,Alp Halde
16072,2775293.923,1207800.862,Caschier
16073,2726595.082,1207860.996,Achseli
16074,2765842.245,1207809.035,Valcaus
16075,2768767.475,1207972.122,Rosnas
16076,2778036,1207829.114,Mittelsäss
16077,2727880.901,1207818.144,Chli Gheist
16078,2767051.42,1207795.893,Fallider
16079,2754858.899,1207786.616,Gasinzer
16080,2755207.865,1207781.652,Stein
16081,2773151.952,1207767.097,Fasein
16082,2772035.78,1207721.269,Huoben
16084,2767815.935,1207742.067,Tuisieva
16085,2783392.497,1207746.743,Boden
16086,2770835.098,1207720.275,Wäli
16087,2762741.031,1207751.02,Unter Heuberg
16088,2754987.065,1207672.915,Höhi
16089,2755472.935,1207655.142,Chrina
16090,2774872.368,1207716.933,Salums
16091,2782149.453,1207659.634,Obersäss
16092,2772938.054,1207664.629,Canschier
16093,2745854.342,1207782.649,Waid
16094,2764553.431,1207606.256,Larnoz
16095,2755735.129,1207584.806,Vadug
16096,2767442.148,1207618.089,Jerplan
16097,2769641.174,1207551.971,Güger
16098,2766593.509,1207544.479,Ganialboden
16099,2746807.214,1207544.421,Unterprecht
16100,2782606.784,1207519.088,Mittelsäss
16101,2779970.255,1207519.893,Bärgli
16102,2761597.932,1207500.541,Hinterwald
16103,2774464.901,1207506.031,Cauis
16104,2765618.383,1207564.328,Pricawalli
16105,2741074.383,1207483.628,Oberlaui
16106,2746008.782,1207486.438,Höfli
16107,2782442.73,1207475.977,Alp Garschina
16108,2746242.456,1207482.542,Boden
16109,2751263.714,1207451.256,Alp Valeis Untesäss
16110,2766324.862,1207458.271,Plinezza
16111,2736082.004,1207443.021,Stutzhütte
16112,2770754.085,1207540.194,Tarnals
16113,2731300.777,1207444.027,Üblital
16114,2783654.642,1207445.223,Äbi
16115,2783402.985,1207407.414,Hof
16116,2767729.593,1207383.742,Patenn
16117,2769801.164,1207341.665,Fatiuras
16118,2769328.031,1207424.518,Aldur
16119,2768469.651,1207340.819,Dalfazza
16120,2766585.805,1207332.623,Plinezzaplana
16121,2729642.1,1207312.337,Ober Gheist
16122,2745736.875,1207314.154,Boden
16123,2731487.01,1207305.318,Schlössli
16124,2762725.692,1207298.864,Rappengugg
16125,2752324.263,1207278.136,Alp Wald Obersäss
16126,2776914.424,1207263.227,Mutta Untersäss
16127,2765508.629,1207238.038,Pligugg
16128,2755272.809,1207243.965,Muttguet
16129,2750449.161,1207160.869,Alp Mugg
16130,2783352.438,1207225.35,Garstett
16131,2747490.397,1207229.618,Oberprecht
16132,2746027.501,1207227.623,Gafarra
16133,2775086.116,1207242.245,Winkel
16134,2754257.896,1207218.901,Kälberhüttli
16135,2760382.007,1207217.679,Eichholz
16136,2769793.226,1207215.592,Wal
16137,2755525.495,1207122.771,Rafigen
16138,2744595.786,1207187.859,Oberberg
16139,2745417.187,1207192.082,Windegg
16140,2747730.344,1207184.778,Alp Gamidauer
16141,2767721.658,1207178.581,Crestacalva
16142,2753632.455,1207178.11,Mittelsäss
16143,2769095.541,1207137.045,Litzi
16144,2766645.715,1207134.635,Gimischola
16145,2770244.897,1207206.084,Cania
16146,2735794.979,1207120.094,Steinhüttli
16147,2770646.646,1207201.87,Ral
16148,2776360.298,1207174.093,Salfsch
16149,2728554.813,1207047.794,Gheistberg
16150,2745351.558,1207002.998,Büel
16151,2738517.182,1206991.902,Chammhüttli
16152,2772574.684,1206983.255,Mulfi
16153,2756638.223,1206973.637,Valur
16154,2754699.208,1206972.465,Muttberg
16155,2765240.484,1206971.865,Matan
16156,2769216.706,1206938.653,Valcas
16157,2765889.591,1206931.852,Runggalatsch
16158,2747514.247,1206924.203,Obersulz
16159,2783126.68,1206942.398,Untersäss
16160,2745126.683,1206836.144,Hochrütti
16161,2769761.926,1206887.905,Rueboden
16162,2766434.648,1206860.267,Gluvanuov
16163,2772408.896,1206798.446,Stafels
16164,2764532.12,1206860.625,Pilidetta
16165,2769557.161,1206791.946,Plandadein
16166,2747287.227,1206783.758,Untersulz
16167,2750248.192,1206761.745,Gaffia
16168,2727119.356,1206763.507,Wart
16169,2725638.11,1206759.964,Schlatt
16170,2769766.634,1206517.825,Pajös
16171,2766367.762,1206732.53,Ruoboden
16172,2745294.089,1206798.806,Geissgaden
16173,2756695.482,1206719.407,Valtina
16174,2771766.521,1206534.016,Spinis
16175,2744505.059,1206709.087,Port
16176,2771445.103,1206703.499,Sponda
16177,2770734.288,1206705.297,Pravalaus
16178,2743581.001,1206705.598,Untergalans
16179,2765504.339,1206693.538,Heid
16180,2744233.111,1206648.545,Bergerholz
16181,2727487.432,1206641.187,Äuli
16182,2757707.45,1206638.105,Loch
16184,2725526.329,1206615.414,Eggli
16185,2748446.622,1206600.556,Alp Gamidauer
16186,2772617.336,1206585.484,Matein
16187,2775243.939,1206579.581,Cavadura
16188,2772870.322,1206506.664,Rain
16189,2773055.051,1206553.371,Parjaus
16190,2765727.808,1206540.658,Pateila
16191,2726165.075,1206551.883,Güetli
16192,2745144.598,1206547.545,Höfli
16193,2755178.544,1206537.259,Stafflis
16194,2755320.113,1206530.757,Gadamunt
16195,2744572.617,1206509.9,Turen
16196,2744168.602,1206479.614,Ragora
16197,2771129.923,1206440.826,Plamaria
16198,2744971.228,1206448.241,Öwi
16199,2769050.155,1206431.326,Carjau
16200,2781116.349,1206435.249,Bärgli
16201,2763948.681,1206427.642,Oberstein
16202,2770364.217,1206375.988,Casällas
16203,2750295.766,1206375.04,Chalchofen
16204,2742528.139,1206366.099,Näserina
16205,2735870.047,1206362.45,Werbenhütte
16206,2725823.415,1206356.074,Lochsiten
16207,2761313.234,1206343.297,Treib
16208,2744540.606,1206379.934,Rüti
16209,2765813.278,1206339.082,Muzanaschg
16210,2770086.291,1206326.739,Pardiel
16211,2744074.11,1206305.886,Hof
16212,2765548.696,1206319.599,Matatsch
16213,2766284.703,1206315.583,Doz
16214,2742944.502,1206277.761,Obersteinälpli
16215,2753679.1,1206263.538,Pardiel-Obersäss
16216,2751123.659,1206269.195,Alp Valeis Obersäss
16217,2771475.097,1206312.195,Camascholis
16218,2773046.225,1206226.16,Crestis
16219,2744321.462,1206105.468,Gädmen
16220,2743514.206,1206229.822,Rütenen
16221,2755656.556,1206197.781,Höf
16222,2758798.085,1206194.733,Malveer
16223,2765951.325,1206145.178,Zur Mur
16224,2764509.234,1206149.293,Ober Fadära
16225,2770690.862,1206094.04,Forz
16226,2743148.914,1206116.11,Unterstein
16227,2765409.292,1206112.437,Lischgaz
16228,2755767.718,1206082.447,Suldis
16229,2755562.814,1206078.169,Gassaura
16230,2771134.861,1206042.611,Lasein
16231,2730109.029,1205981.035,Spicher
16232,2766165.331,1205985.998,Motschna
16233,2758154.663,1205995.549,Majerina
16234,2728901.956,1205969.241,Höfli
16235,2729751.637,1205998.266,Chummenberg
16236,2773126.912,1205924.212,Eggen
16237,2771944.007,1205950.699,Mundaditsch
16238,2725312.563,1205925.533,Güetli
16239,2779005.863,1205872.495,Spitzi Obersäss
16240,2765013.657,1205877.168,Zum See
16241,2769381.149,1205868.609,Kapitelhof
16242,2758864.116,1205844.183,Andreasberg
16243,2756682.45,1205764.749,Gassaura
16244,2730298.908,1205823.325,Güfel
16245,2743333.04,1205755.783,Logs
16246,2770832.261,1205778.661,Mazüel
16247,2773063.691,1205745.916,Crausch
16248,2757009.879,1205702.367,Molinäris
16249,2758528.252,1205696.432,Schmidberg
16250,2764914.018,1205674.593,Valbraga
16251,2772038.653,1205694.73,Chobel
16252,2773933.648,1205700.822,Spitan
16253,2782162.873,1205670.877,Hinter Züg
16254,2729761.013,1205658.192,Linden
16255,2775781.611,1205648.454,Wäschchrut
16256,2744874.359,1205627.616,Eggli
16257,2730892.414,1205595.493,Oberholz
16258,2772784.366,1205616.213,Unterpusserein
16259,2758871.653,1205612.216,Lunziboden
16260,2729288.134,1205545.592,Höfliegg
16261,2764646.127,1205559.624,Fadära
16262,2730229.971,1205539.916,Brunnengaden
16263,2763280.035,1205457.694,Welbi
16264,2771995.779,1205505.446,Flippenboden
16265,2756301.738,1205552.023,Grosswies
16266,2781752.443,1205501.262,Zug
16267,2772173.235,1205518.98,Bazolis
16268,2769002.295,1205527.671,Böschis
16269,2730435.577,1205497.532,Egg
16271,2729524.777,1205457.097,Büel
16272,2779283.703,1205395.63,Junker
16273,2770795.859,1205436.631,Carstolia
16274,2738782.301,1205433.298,Obersiezsäss
16275,2781401.396,1205435.075,Höf
16276,2731041.145,1205333.845,Lindenbodenberg
16277,2742620.468,1205411.824,Chloster
16278,2758675.347,1205345.143,Falbenberg
16279,2755456.386,1205338.993,Böden
16280,2781853.019,1205317.427,Büel
16281,2730713.143,1205305.141,Schlatt
16282,2735940.446,1205257.467,Hinter Winggelhütten
16283,2756168.053,1205274.84,Vaschnäris
