,E,N,namewithoutadditions
10782,2714867.542,1277727.235,Neuhof
10783,2718444.621,1277546.414,Löhren
10784,2707145.836,1277488.293,Guggenbüel
10785,2706335.941,1277470.005,Iben
10786,2722456.333,1277472.964,Eichhof
10787,2731308.692,1277404.992,Schrofen
10788,2720437.423,1277446.484,Sonnenberg
10789,2715337.803,1277306.781,Freihof
10790,2733607.348,1277286.562,Lindehof
10791,2718869.572,1277248.924,Bächler
10792,2695711.226,1277195.732,Sunnacker
10793,2697700.257,1277209.141,Mattenhof
10794,2735718.777,1277169.833,Weidhof
10795,2710699.512,1277197.121,Störenberg
10796,2718551.344,1277187.696,Schwizerland
10797,2707301.519,1277146.877,Oberwiesen
10798,2714542.953,1277167.662,Sonnenberg
10799,2697821.999,1277133.059,Waldhof
10800,2733732.634,1277078.46,Feldhof
10801,2691487.065,1277040.931,Abischthof
10802,2696302.502,1277057.237,Grüthof
10803,2717456.433,1277033.341,Schwärzi
10804,2721439.789,1277003.14,Ifang
10805,2697615.195,1276952.933,Riedhof
10806,2718211.094,1276974.821,Brathaus
10807,2713925.136,1276955.972,Friedberg
10808,2699220.246,1276926.626,Eichhof
10809,2729835.859,1277005.755,Bätershausen
10810,2721818.233,1276851.159,Holzhäusern
10811,2714343.316,1276879.896,Schwerzi
10812,2731575.451,1276885.757,Güetli
10813,2707079.056,1276840.906,Ifang
10814,2708401.136,1276887.524,Windhausen
10815,2710415.374,1276845.42,Bühl
10816,2705791.452,1276836.183,Altrappenhof
10817,2702728.017,1276827.266,Talmühle
10818,2710214.187,1276805.893,Chlösterli
10819,2723769.015,1276743.708,Waldhof
10820,2710111.749,1276725.486,Vorderweierholz
10821,2698813.674,1276688.491,Ghardi
10822,2692877.743,1276635.432,Ruppen
10823,2721602.088,1276647.257,Oberchoderüüti
10824,2714415.057,1276730.679,Schwedisreuti
10825,2722400.596,1276612.623,Hoi
10826,2703056.672,1276462.939,Alte St. Anna
10827,2709328.589,1276593.373,Immelhausen
10828,2724564.699,1276606.668,Kreuzstrasse
10829,2696758.09,1276610.941,Im Genter
10830,2704632.982,1276583.567,Rossbuck
