"Var1";"Freq"
" à bise";1
" à doda";1
" à jeur";1
" à paux";1
" à rami";1
" à remy";1
" à roux";2
" à tena";1
" aberts";1
" achern";1
" adrian";1
" aebnit";2
" aelpli";2
" afflon";1
" agario";1
" ägerte";1
" agites";1
" agnons";1
" aguets";1
" ahoren";1
" ahorni";1
" aidges";1
" alesch";1
" allmit";2
" alpage";1
" althus";1
" andriu";1
" angles";1
" angone";1
" antoni";1
" arasio";1
" arayes";1
" artore";1
" arvigo";1
" äschen";2
" ascona";1
" assets";1
" au roc";1
" au roy";1
" au sex";1
" aubert";4
" audron";1
" audzis";1
" avants";1
" ayerne";1
" bächen";1
" bâches";1
" bächle";1
" bächli";2
" baggio";1
" bahyse";1
" balisa";1
" balmaz";1
" bändli";1
" barbey";1
" barchi";1
" barcli";1
" bardun";1
" bareta";2
" barfay";1
" barges";1
" bärgli";9
" barmes";4
" bärsal";2
" basses";2
" bassés";1
" basset";5
" basuel";1
" bâtard";1
" battia";1
" baudes";1
" baulch";1
" bauloz";1
" baumaz";2
" bäumen";1
" baumes";2
" bauxes";1
" bavois";1
" bavoux";1
" bazine";1
" bedare";1
" begnon";1
" bémont";3
" benoit";1
" benoît";1
" bérard";2
" berchy";1
" bergen";2
" bergli";1
" bergou";1
" berlan";1
" bernaz";1
" bernet";1
" berney";1
" béroie";1
" béroud";1
" berret";1
" bertin";1
" bescha";1
" besses";1
" betlis";1
" bianch";1
" bidjan";1
" bielen";2
" bierla";1
" bigori";1
" biolay";1
" biolec";1
" bioles";6
" biolet";1
" biolex";1
" bioley";5
" biolle";2
" birche";1
" birtis";2
" blacki";2
" blaise";1
" blauen";1
" bleike";2
" bleiki";2
" bochat";2
" bochet";4
" bödeli";1
" bodmen";3
" bödmer";1
" boeufs";3
" boiron";1
" boitel";1
" boivin";1
" boléne";1
" bolets";1
" bordon";2
" bornes";2
" borney";1
" bösciu";1
" bossel";1
" bosset";2
" bossey";2
" bosson";1
" botset";1
" bouecq";1
" bouège";1
" bougne";1
" bouraz";1
" bourgo";2
" bourlâ";1
" bourlo";1
" bouzin";1
" bovets";1
" brahon";1
" braita";1
" brâles";1
" brandt";4
" bredot";1
" bregos";1
" breite";2
" brelan";1
" brenin";1
" bréona";2
" brésil";4
" breuil";1
" brigge";1
" britze";1
" broche";1
" brouye";1
" brüche";1
" brûlée";3
" brunna";1
" brunnu";1
" büchel";1
" bucley";2
" budlei";1
" büelen";1
" bugnon";8
" bulles";1
" bulzen";1
" bunder";1
" buonas";1
" burgat";1
" burgoz";1
" burite";1
" busine";2
" butzli";2
" buufal";2
" cabuse";1
" caccio";1
" cachot";2
" cajéra";1
" calame";2
" callaz";1
" canada";2
" cannes";1
" capite";1
" carmel";1
" carrée";1
" carrel";1
" carres";1
" carroz";2
" casard";2
" casina";1
" catila";1
" catîle";1
" cattin";1
" caudon";2
" caváda";1
" cavloc";1
" cergna";2
" cergne";6
" cergny";1
" cerjat";1
" cerney";2
" cernia";5
" cernie";2
" cernil";4
" cernis";1
" cesura";1
" ceyves";1
" chablé";1
" châble";6
" chablo";2
" chaffa";1
" chälen";2
" chalet";18
" challa";1
" chalmé";3
" champs";14
" chanet";1
" chaney";3
" chanie";1
" chanso";1
" chants";1
" chasse";1
" châtel";4
" châtin";1
" chaupe";1
" chavas";1
" chenal";3
" chenau";3
" chênes";3
" chenit";1
" chepey";1
" cherne";1
" chêrpo";1
" chesal";1
" chésal";2
" chesau";1
" chésau";1
" chètse";1
" chetta";1
" chèvre";1
" cheyta";1
" chiesa";2
" chiets";1
" chimbo";1
" chipfe";1
" chirel";3
" chivra";1
" chlapf";2
" choisi";1
" choisy";1
" chonet";1
" chosés";1
" christ";1
" chufry";1
" cierge";1
" cierna";1
" cierne";7
" cindes";1
" ciossa";1
" claude";1
" clavel";1
" clèves";1
" clünas";1
" cochin";1
" cocoro";1
" colani";1
" colleu";1
