"Var1";"Freq"
" (vully)";2
" à chuet";1
" à genon";1
" à marro";1
" à moret";1
" à neveu";1
" à preux";1
" abattes";1
" abbayes";1
" accueil";1
" adelins";1
" adlikon";1
" aeschli";3
" affeier";1
" agettes";1
" agozats";1
" albrist";2
" allmend";2
" altberg";1
" altenei";1
" altmatt";2
" ammerta";2
" angosse";1
" annahof";1
" anselme";1
" antoine";1
" antonio";6
" arbères";1
" ardüsch";2
" areneys";1
" areuses";1
" arolgia";1
" arsizio";1
" attelas";1
" au cerf";4
" au crot";1
" au cuir";1
" au curé";1
" au loup";3
" avattes";1
" ayernes";1
" baboles";1
" badause";1
" badoule";1
" bahnhof";1
" baillaz";1
" baillif";1
" baillod";5
" balkans";1
" ballens";1
" bambois";2
" baragne";1
" bärbach";1
" bardons";1
" barigue";1
" barlegn";1
" baronne";2
" bartola";1
" bassine";1
" bastian";1
" bäumler";1
" bayards";1
" beaupin";1
" bec sot";1
" bedaule";1
" belleta";1
" belvair";1
" benette";1
" benonne";1
" bérauta";1
" berceau";1
" bergère";1
" berisal";1
" bernard";4
" bernina";2
" béroyer";1
" berthod";1
" berzona";1
" bettens";1
" beugnat";1
" béviaux";1
" bévieux";1
" bi gîto";2
" bigorio";1
" bilchen";1
" billens";1
" bindith";2
" biolays";1
" bioleys";2
" biolles";2
" biolley";2
" bioulet";1
" bireten";3
" bivouac";1
" blaachi";1
" blaiset";1
" blanche";10
" blanruz";1
" blatten";1
" blettay";1
" blettes";1
" boccard";1
" bochets";1
" bocliou";1
" bodemos";1
" boéchet";1
" boisses";1
" boiteux";1
" bölchen";2
" bollets";1
" bonavau";1
" bongert";1
" bordzey";1
" borgeau";1
" borgnòi";1
" bornand";1
" bornels";2
" boscone";1
" bossena";1
" botsard";1
" boucher";1
" bouclon";1
" bougnon";1
" bourgat";1
" bourica";1
" bourret";2
" bousset";2
" boutses";1
" bouvier";2
" bovatey";2
" boverat";1
" boverie";1
" bovette";1
" brahier";1
" branche";2
" brändli";1
" brassus";2
" breiten";2
" brenets";1
" brenles";1
" bresson";1
" brévine";1
" brévire";1
" brocard";3
" brugera";1
" brüggli";3
" brusino";1
" bruyère";1
" bûchons";1
" büdemji";1
" buechen";2
" buement";1
" bugnons";1
" buisson";1
" buitoux";1
" bultern";1
" bumanda";1
" bundalp";2
" bürglen";1
" burlaja";1
" burnier";1
" burquin";1
" cabutse";1
" cadenga";1
" cadraux";1
" cagnard";1
" caillot";1
" calanca";1
" calèves";1
" camarès";1
" campasc";1
" cancian";1
" cantoni";1
" cantons";1
" caprino";1
" carasso";1
" cardino";1
" carnone";1
" carrida";1
" cartier";1
" cascina";1
" cascine";1
" caserne";1
" cassons";1
" caudrai";1
" caudraz";1
" caudrés";1
" caudrie";1
" caviano";1
" cavoues";1
" cedullo";1
" cergnat";1
" cergnes";4
" cernets";3
" cerneux";5
" cerniat";2
" cernies";2
" cernion";1
" cézille";1
" chablet";2
" chabloz";2
" chadoua";1
" chafard";1
" chailat";1
" chalais";1
" chalery";1
" chalets";2
" champey";1
" champod";1
" champoz";1
" champre";1
" chanays";1
" chanton";1
" chapuis";1
" charbon";3
" charles";1
" charmet";1
" charrue";1
" château";11
" chauber";1
" chaumaz";1
" chavuty";1
" chenals";1
" chenaux";1
" cheneau";2
" chénens";1
" chenner";2
" chèquet";1
" chermin";1
" chesaux";1
" chessle";1
" chevaux";1
" chèvres";1
" chiésaz";1
" chiesso";7
" chilche";2
" chillou";1
" chislig";1
" chnöwis";2
" cholere";1
" chollet";1
" chöpfli";1
" chottes";1
" choumin";1
" choutsô";1
" chrizji";1
" chübeli";2
" cibourg";1
" ciernes";9
" ciseaux";1
" citards";1
" citerne";1
" cithard";2
" clavets";1
" clavile";1
" clavons";1
" clément";1
" clocher";1
" closels";1
" closuit";1
" closure";1
" coeudre";1
" coeurie";1
" collons";1
" combala";1
" combert";1
" combeta";1
" combire";1
" combres";1
" commune";2
" communs";2
" conches";1
" convers";3
" coperie";2
" coransù";1
" corbets";2
" corboud";1
" cornets";1
" corniat";1
" corraye";2
" corsale";1
" coteaux";1
" côteaux";2
" côtière";1
" cottard";1
" cottens";2
" cottino";1
" coudray";1
" coulats";1
" courbes";1
" courtil";1
" couvent";1
" crausaz";3
" crauses";1
" crépont";1
" cressin";1
" crêtaux";1
" crétels";1
" crétêts";1
" crétins";1
" crettaz";5
" crettex";1
" creuses";2
" crinson";1
" crochet";1
" croisée";1
" crosats";3
" crosets";2
" crosses";1
" crottaz";1
" crottes";2
" crouyes";1
" cugnani";1
" cuisins";1
" cuisons";1
" culiète";1
" curarda";1
" curnaux";1
" curtils";1
" cusello";1
" custodi";1
" cuvigne";1
" d'ambrì";1
" d'amont";35
" d'amour";1
" d'arbaz";1
" d'arnou";1
" d'asson";1
" d'avaud";1
" d'avoud";1
" d'ayent";1
" d'eison";2
" d'enges";1
" d'faret";1
" d'immez";2
" d'uglix";1
" d'y bau";1
" da fans";1
" da grun";1
" da guad";1
" da munt";1
" da sass";1
" da segl";1
" da sett";1
" da staz";1
" da sura";1
" dadains";1
" dadaint";7
" dadoura";6
" dailles";3
" daillet";1
" daillex";1
" dailley";1
" dal rom";1
" dandrio";1
" danfieu";1
" dauphin";1
" davains";8
" dazenet";1
" de bise";5
" de böde";1
" de bran";1
" de brie";1
" de cran";1
" de crey";1
" de dole";1
" de duez";2
" de fera";1
" de fure";1
" de joux";7
" de l'er";1
" de miex";1
" de mont";2
" de nant";1
" de nods";1
" de piez";1
" de plan";1
" de prez";1
" de proz";1
" de riva";1
" de rive";1
" de sery";1
" de vaud";1
" de vaux";2
" de vent";4
" de vers";1
" de vosé";1
" de yens";1
" défiran";1
" deforan";1
" délices";1
" dem ack";1
" dem see";1
" demides";1
" der alp";1
" der egg";4
" der gey";1
" der höh";1
" der höi";1
" der mur";2
" dernier";7
" des gez";1
" des mâs";1
" des mis";1
" dessous";109
" dézaley";2
" di agra";1
" di dana";1
" di daro";1
" di gana";2
" di lago";2
" di olin";1
" di rima";1
" di sass";1
" djiette";1
" dozerce";1
" dreudze";1
" du bois";4
" du bras";1
" du chet";1
" du ciel";1
" du crêt";3
" du flon";1
" du four";5
" du haut";7
" du jour";1
" du loup";1
" du mont";4
" du nant";1
" du plex";1
" du pont";8
" du rang";1
" du scex";1
" du sina";1
" du vaud";1
" du vent";1
" dullive";1
" duragno";1
" duranna";1
" dürstel";1
" dzindre";1
" ecarres";1
" echadex";1
" echanoz";1
" echerts";1
" echines";1
" ecovets";1
" ecrieux";1
" ecusson";1
" eichhof";1
" embreux";1
" emibois";1
" emmetti";1
" en egga";2
" enfants";1
" engrins";1
" ependes";1
" eraisis";1
" erlisse";1
" erlosen";1
" errauts";1
" erzberg";2
" esserts";21
" essieux";1
" eterpas";1
" eterpis";3
" etramaz";2
" etrives";1
" eudrans";1
" fancori";1
" faverge";1
" favouet";1
" fayaula";1
" fédeloi";1
" fédjîre";1
" fenetta";1
" fenette";2
" fermens";1
" ferrage";1
" ferrand";1
" février";1
" fischer";1
" flaches";2
" flecken";1
" flogère";1
" flonzel";1
" flywald";1
" foillet";1
" follach";1
" follats";1
" fontane";1
" foralla";1
" foranne";1
" forclaz";3
" foreire";1
" forneys";1
" forniri";1
" fortsey";1
" fortune";1
" fossard";1
" fougère";1
" foulets";1
" foyards";1
" frachey";1
" fraises";1
" frasses";5
" frassis";1
" fratchi";1
" fratses";1
" fribrig";1
" friques";1
" fritsch";1
" funtani";1
" furcela";1
" gagessa";1
" galilée";2
" galites";1
" gallina";1
" gandria";1
" gantene";1
" gardosa";1
" garenne";1
" gargati";1
" gaudard";1
" gendlin";1
" genevez";1
" geneyne";1
" genoule";1
" gentner";1
" georges";1
" gérigno";1
" geriwil";1
" germine";1
" giacomo";1
" gianora";1
" giettes";4
" gindroz";1
" gingine";2
" girards";1
" gisetta";2
" givrine";2
" glacier";1
" gobetta";1
" goguire";1
" goilles";3
" golatte";1
" goldern";1
" goletta";2
" golette";2
" gonceth";1
" gondran";1
" gossens";1
" goteron";1
" gottala";1
" gottrau";1
" gouenna";1
" gouille";2
" granges";15
" grantis";1
" grappen";1
" grasses";1
" grattes";1
" graubon";1
" gravine";1
" gremeau";1
" grenier";6
" grillet";2
" grô prâ";1
" grolley";1
" guérite";1
" guerris";1
" guières";1
" guiguet";1
" guillod";1
" härggis";1
" hauberg";2
" heitere";2
" heitlig";1
" helchen";3
" hellela";3
" henchoz";2
" hermann";1
" heuberg";2
" hirschi";1
" hlistes";1
" hohberg";5
" hohfluh";1
" höngger";1
" horbach";1
" houriet";2
" humbert";1
" igraben";1
" il tgom";1
" incrota";1
" indévis";1
" indivis";1
" isadora";1
" ischlag";1
" jaccard";1
" jansegg";2
" jeannet";1
" jeannin";1
" joconde";1
" joffrey";1
" joratel";1
" jordans";1
" joretta";2
" jorette";1
" josefen";1
" journée";2
" jouttes";1
" kaltbad";2
" kapberg";1
" kapelle";1
" knutwil";1
" kunkels";2
" l'aïeul";1
" l'aivla";1
" l'epâra";1
" l'eperd";1
" l'etang";1
" l'halle";2
" l'ordon";1
" l'ortie";1
" la bise";1
" la côte";10
" la cour";1
" la cure";2
" la dame";1
" la dent";1
" la dôle";1
" la five";1
" la joux";3
" la melt";1
" la mort";1
" la niva";1
" la proz";1
" la punt";1
" la rösa";1
" la sage";1
" la scie";4
" la tête";1
" la tour";3
" la vaux";1
" la zouc";1
" lambegn";1
" lampach";1
" lampere";1
" lanciau";3
" lanfrey";1
" laquier";1
" larrets";2
" laurent";2
" laviaux";2
" lavoirs";1
" lé avau";1
" le bois";5
" le buis";1
" le chat";1
" le clou";1
" le crêt";6
" le four";1
" le grin";1
" le gros";1
" le mont";4
" le pont";1
" le rang";1
" le ring";1
" léamont";1
" léchère";5
" lefèvre";1
" légeret";1
" leiteri";1
" lemette";1
" lemnius";1
" les rod";1
" les sés";2
" les sex";1
" leuchut";1
